sbi03015	mRNA surveillance pathway 	Sb01g000357	Sobic.001G002700	PPP1C	K06269	EC:3.1.3.16
sbi03030	DNA replication 	Sb09g026950	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
sbi03410	Base excision repair 	Sb09g026950	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
sbi03450	Non-homologous end-joining 	Sb09g026950	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
sbi03010	Ribosome 	Sb01g002595	Sobic.001G027600	RP-L18	K02881	-
sbi03040	Spliceosome 	Sb01g002670	Sobic.001G028200	SNRNP200	K12854	EC:3.6.4.13
sbi01230	Biosynthesis of amino acids 	Sb01g029085	Sobic.001G029300	trpE	K01657	EC:4.1.3.27
sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb01g029085	Sobic.001G029300	trpE	K01657	EC:4.1.3.27
sbi04144	Endocytosis 	Sb03g039850	Sobic.001G031900	RAB11A	K07904	-
sbi03010	Ribosome 	Sb01g003200	Sobic.001G034200	RP-L36e	K02920	-
sbi00100	Steroid biosynthesis 	Sb01g004290	Sobic.001G046500	E2.1.1.41	K00559	EC:2.1.1.41
sbi00100	Steroid biosynthesis 	Sb01g004280	Sobic.001G046500	E2.1.1.41	K00559	EC:2.1.1.41
sbi00100	Steroid biosynthesis 	Sb01g004295	Sobic.001G046600	E2.1.1.41	K00559	EC:2.1.1.41
sbi00100	Steroid biosynthesis 	Sb01g004300	Sobic.001G046600	E2.1.1.41	K00559	EC:2.1.1.41
sbi00100	Steroid biosynthesis 	Sb01g004310	Sobic.001G046700	E2.1.1.41	K00559	EC:2.1.1.41
sbi00270	Cysteine and methionine metabolism 	Sb01g005082	Sobic.001G055700	DNMT1	K00558	EC:2.1.1.37
sbi01230	Biosynthesis of amino acids 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
sbi00260	Glycine, serine and threonine metabolism 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
sbi04146	Peroxisome 	Sb01g005970	Sobic.001G065700	PEX13	K13344	-
sbi00480	Glutathione metabolism 	Sb02g038120	Sobic.001G066000	GST	K00799	EC:2.5.1.18
sbi03008	Ribosome biogenesis in eukaryotes 	Sb01g007190	Sobic.001G079700	CSNK2A	K03097	EC:2.7.11.1
sbi04712	Circadian rhythm - plant 	Sb01g007190	Sobic.001G079700	CSNK2A	K03097	EC:2.7.11.1
sbi03010	Ribosome 	Sb04g019000	Sobic.001G091700	RP-S27e	K02978	-
sbi03010	Ribosome 	Sb01g008270	Sobic.001G091700	RP-S27e	K02978	-
sbi03010	Ribosome 	Sb04g018990	Sobic.001G091700	RP-S27e	K02978	-
sbi04144	Endocytosis 	Sb01g008330	Sobic.001G092300	SNF8	K12188	-
sbi04070	Phosphatidylinositol signaling system 	Sb01g008460	Sobic.001G094400	CALM	K02183	-
sbi04626	Plant-pathogen interaction 	Sb01g008460	Sobic.001G094400	CALM	K02183	-
sbi04141	Protein processing in endoplasmic reticulum 	Sb01g006565	Sobic.001G094900	SEC23	K14006	-
sbi03015	mRNA surveillance pathway 	Sb01g008700	Sobic.001G097200	SMG1	K08873	-
sbi04712	Circadian rhythm - plant 	Sb0919s002010	Sobic.001G111500	PHYA	K12120	-
sbi03040	Spliceosome 	Sb07g024245	Sobic.001G119900	DDX23	K12858	EC:3.6.4.13
sbi00240	Pyrimidine metabolism 	Sb01g012360	Sobic.001G142000	dut	K01520	EC:3.6.1.23
sbi04144	Endocytosis 	Sb01g012520	Sobic.001G143600	GBF1	K18443	-
sbi00860	Porphyrin and chlorophyll metabolism 	Sb01g013080	Sobic.001G150600	NOL	K13606	EC:1.1.1.294
sbi03010	Ribosome 	Sb01g015535	Sobic.001G178500	RP-S19	K02965	-
sbi03430	Mismatch repair 	Sb06g033320	Sobic.001G198400	MSH3	K08736	-
sbi03018	RNA degradation 	Sb01g019570	Sobic.001G222500	DHX36	K14442	EC:3.6.4.13
sbi03018	RNA degradation 	Sb01g047360	Sobic.001G228200	groEL	K04077	-
sbi00500	Starch and sucrose metabolism 	Sb01g021190	Sobic.001G239500	E2.4.1.21	K00703	EC:2.4.1.21
sbi03410	Base excision repair 	Sb01g024706	Sobic.001G262700	MBD4	K10801	EC:3.2.2.-
sbi00960	Tropane, piperidine and pyridine alkaloid biosynthesis 	Sb01g025590	Sobic.001G264100	TR1	K08081	EC:1.1.1.206
sbi00360	Phenylalanine metabolism 	Sb0011s012850	Sobic.001G282800	4CL	K01904	EC:6.2.1.12
sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb0011s012850	Sobic.001G282800	4CL	K01904	EC:6.2.1.12
sbi00940	Phenylpropanoid biosynthesis 	Sb0011s012850	Sobic.001G282800	4CL	K01904	EC:6.2.1.12
sbi00360	Phenylalanine metabolism 	Sb01g028620	Sobic.001G293100	E1.11.1.7	K00430	EC:1.11.1.7
sbi00940	Phenylpropanoid biosynthesis 	Sb01g028620	Sobic.001G293100	E1.11.1.7	K00430	EC:1.11.1.7
sbi00195	Photosynthesis 	Sb01g029198	Sobic.001G299900	psbC	K02705	-
sbi00480	Glutathione metabolism 	Sb05g018883	Sobic.001G317000	GST	K00799	EC:2.5.1.18
sbi00100	Steroid biosynthesis 	Sb01g032950	Sobic.001G343300	E1.1.1.170	K07748	EC:1.1.1.170
sbi00100	Steroid biosynthesis 	Sb01g032990	Sobic.001G343500	E1.1.1.170	K07748	EC:1.1.1.170
sbi00100	Steroid biosynthesis 	Sb01g033520	Sobic.001G343500	E1.1.1.170	K07748	EC:1.1.1.170
sbi00940	Phenylpropanoid biosynthesis 	Sb01g015803	Sobic.001G346800	E2.1.1.68	K13066	EC:2.1.1.68
sbi00940	Phenylpropanoid biosynthesis 	Sb01g033245	Sobic.001G346800	E2.1.1.68	K13066	EC:2.1.1.68
sbi00190	Oxidative phosphorylation 	Sb04g025700	Sobic.001G350600	COX6B	K02267	-
sbi00562	Inositol phosphate metabolism 	Sb01g034993	Sobic.001G367200	PIP5K	K00889	EC:2.7.1.68
sbi04070	Phosphatidylinositol signaling system 	Sb01g034993	Sobic.001G367200	PIP5K	K00889	EC:2.7.1.68
sbi04144	Endocytosis 	Sb01g034993	Sobic.001G367200	PIP5K	K00889	EC:2.7.1.68
sbi03040	Spliceosome 	Sb02g042285	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb02g025500	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb09g006200	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb07g011821	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb10g021000	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb02g025915	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb02g011155	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb01g012305	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb10g026315	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb07g007560	Sobic.001G370300	PRPF4	K12662	-
sbi03040	Spliceosome 	Sb09g005616	Sobic.001G370300	PRPF4	K12662	-
